Postal Code,ZIP_CIDE,Walk_Score
H1A,H1A 5G4,66
H1A,H1A 5G5,56
H1A,H1A 5G6,54
H1A,H1A 5G7,71
H1A,H1A 5G8,62
H1A,H1A 5G9,64
H1A,H1A 5H1,62
H1A,H1A 5H2,56
H1A,H1A 5H3,48
H1A,H1A 5H4,52
H1A,H1A 5H5,66
H1A,H1A 5H6,25
H1A,H1A 5H7,24
H1A,H1A 5H8,22
H1A,H1A 5H9,34
H1A,H1A 5J1,10
H1A,H1A 5J2,17
H1A,H1A 5J3,13
H1A,H1A 5J4,15
H1A,H1A 5J5,21
H1A,H1A 5J6,13
H1A,H1A 5J7,6
H1A,H1A 5J8,8
H1A,H1A 5J9,7
H1A,H1A 5K1,9
H1A,H1A 5K2,6
H1A,H1A 5K3,13
H1A,H1A 5K4,16
H1A,H1A 5K5,13
H1A,H1A 5K6,16
H1A,H1A 5K7,22
H1A,H1A 5K8,50
H1A,H1A 5K9,9
H1A,H1A 5L1,12
H1A,H1A 5L2,9
H1A,H1A 5L3,9
H1A,H1A 5L4,6
H1A,H1A 5L5,7
H1A,H1A 5L6,10
H1A,H1A 5L7,64
H1A,H1A 5L7,64
H1A,H1A 5L8,14
H1A,H1A 5L9,8
H1A,H1A 5M1,34
H1A,H1A 5M2,15
H1A,H1A 5M3,14
H1A,H1A 5M4,73
H1A,H1A 5M5,53
H1A,H1A 5M6,25
H1A,H1A 5M7,11
H1A,H1A 5M8,8
H1A,H1A 5M9,6
H1A,H1A 5N1,14
H1A,H1A 5N2,15
H1A,H1A 5N3,7
H1A,H1A 5N4,6
H1A,H1A 5N5,17
H1A,H1A 5N6,15
H1A,H1A 5N8,7
H1A,H1A 5N9,21
H1A,H1A 5P1,17
H1A,H1A 5P2,4
H1A,H1A 5P3,18
H1A,H1A 5P4,22
H1A,H1A 5P5,24
H1A,H1A 5P6,22
H1A,H1A 5P7,22
H1A,H1A 5P8,19
H1A,H1A 5P9,23
H1A,H1A 5R1,32
H1A,H1A 5R2,18
H1A,H1A 5R3,17
H1A,H1A 5R3,17
H1A,H1A 5R4,20
H1A,H1A 5R7,21
H1A,H1A 5R8,17
H1A,H1A 5R9,38
H1A,H1A 5S1,38
H1A,H1A 5S2,1
H1A,H1A 5S3,20
H1A,H1A 5S4,24
H1A,H1A 5S5,5
H1A,H1A 5S6,18
H1A,H1A 5S7,15
H1A,H1A 5S8,24
H1A,H1A 5S9,23
H1A,H1A 5T2,40
H1A,H1A 5T3,16
H1A,H1A 5T4,4
H1A,H1A 5T5,1
H1A,H1A 5T6,23
H1A,H1A 5T7,22
H1A,H1A 5T8,15
H1A,H1A 5T9,11
H1A,H1A 5V1,11
H1A,H1A 5V2,11
H1A,H1A 5V4,23
H1A,H1A 5V5,22
H1A,H1A 5V6,22
H1B,H1B 0A1,68
H1B,H1B 0A3,60
H1B,H1B 0A4,27
H1B,H1B 0A5,12
H1B,H1B 0A6,2
H1B,H1B 0A7,18
H1B,H1B 0A8,22
H1B,H1B 0A9,51
H1B,H1B 0B1,51
H1B,H1B 0B2,52
H1B,H1B 0B3,51
H1B,H1B 0B4,32
H1B,H1B 0B5,37
H1B,H1B 0B6,51
H1B,H1B 0B7,54
H1B,H1B 0B8,51
H1B,H1B 0C1,51
H1B,H1B 0C2,32
H1B,H1B 0C3,32
H1B,H1B 1A1,1
H1B,H1B 1A2,1
H1B,H1B 1A3,1
H1B,H1B 1A4,0
H1B,H1B 1A5,1
H1B,H1B 1A6,15
H1B,H1B 1A9,19
H1B,H1B 1B3,7
H1B,H1B 1B4,9
H1B,H1B 1B5,19
H1B,H1B 1B6,21
H1B,H1B 1B7,24
H1B,H1B 1B8,29
H1B,H1B 1B9,24
H1B,H1B 1C1,29
H1B,H1B 1C2,29
H1B,H1B 1C3,19
H1B,H1B 1C4,43
H1B,H1B 1C5,52
H1B,H1B 1C6,38
H1B,H1B 1C7,51
H1B,H1B 1C8,63
H1B,H1B 1C9,69
H1B,H1B 1E1,44
H1B,H1B 1E2,44
H1B,H1B 1E3,44
H1B,H1B 1E4,52
H1B,H1B 1E5,52
H1B,H1B 1E6,52
H1B,H1B 1E7,51
H1B,H1B 1E8,51
H1B,H1B 1E9,51
H1B,H1B 1G1,51
H1B,H1B 1G2,52
H1B,H1B 1G3,52
H1B,H1B 1G4,58
H1B,H1B 1G5,60
H1B,H1B 1G6,60
H1B,H1B 1G7,63
H1B,H1B 1G8,68
H1B,H1B 1G9,60
H1B,H1B 1H1,60
H1B,H1B 1H2,53
H1B,H1B 1H3,53
H1B,H1B 1H4,51
H1B,H1B 1H5,51
H1B,H1B 1H6,53
H1B,H1B 1H7,51
H1B,H1B 1H8,52
H1B,H1B 1H9,51
H1B,H1B 1J1,52
H1B,H1B 1J2,52
H1B,H1B 1J3,56
H1B,H1B 1J4,56
H1B,H1B 1J5,56
H1B,H1B 1J6,56
H1B,H1B 1J7,63
H1B,H1B 1J8,21
H1B,H1B 1J9,19
H1B,H1B 1K1,22
H1B,H1B 1K2,25
H1B,H1B 1K3,19
H1B,H1B 1K5,43
H1B,H1B 1K6,43
H1B,H1B 1K7,49
H1B,H1B 1K8,49
H1B,H1B 1K9,53
H1B,H1B 1L1,53
H1B,H1B 1L2,53
H1B,H1B 1L3,54
H1B,H1B 1L4,55
H1B,H1B 1L5,53
H1B,H1B 1L6,53
H1B,H1B 1L7,53
H1B,H1B 1L8,53
H1B,H1B 1L9,53
H1B,H1B 1M1,53
H1B,H1B 1M2,53
H1B,H1B 1M3,53
H1B,H1B 1M4,53
H1B,H1B 1M5,53
H1B,H1B 1M6,51
H1B,H1B 1M7,52
H1B,H1B 1M8,52
H1B,H1B 1M9,53
H1B,H1B 1N1,53
H1B,H1B 1N2,53
H1B,H1B 1N3,29
H1B,H1B 1N4,24
H1B,H1B 1N5,29
H1B,H1B 1N6,29
H1B,H1B 1N7,48
H1B,H1B 1N8,48
H1B,H1B 1N9,48
H1B,H1B 1P1,54
H1B,H1B 1P2,53
H1B,H1B 1P3,54
H1B,H1B 1P4,55
H1B,H1B 1P5,55
H1B,H1B 1P6,55
H1B,H1B 1P7,55
H1B,H1B 1P8,54
H1B,H1B 1P9,54
H1B,H1B 1R1,54
H1B,H1B 1R2,54
H1B,H1B 1R3,53
H1B,H1B 1R4,51
H1B,H1B 1R5,53
H1B,H1B 1R6,51
H1B,H1B 1R7,51
H1B,H1B 1R8,51
H1B,H1B 1R9,53
H1B,H1B 1S1,47
H1B,H1B 1S2,27
H1B,H1B 1S3,27
H1B,H1B 1S4,32
H1B,H1B 1S5,32
H1B,H1B 1S6,32
H1B,H1B 1S7,38
H1B,H1B 1S8,36
H1B,H1B 1S9,38
H1B,H1B 1T2,42
H1B,H1B 1T3,43
H1B,H1B 1T4,43
H1B,H1B 1T5,45
H1B,H1B 1T6,49
H1B,H1B 1T7,46
H1B,H1B 1T8,49
H1B,H1B 1T9,51
H1B,H1B 1V1,51
H1B,H1B 1V2,51
H1B,H1B 1V3,51
H1B,H1B 1V4,53
H1B,H1B 1V5,52
H1B,H1B 1V6,53
H1B,H1B 1V7,53
H1B,H1B 1V8,54
H1B,H1B 1V9,54
H1B,H1B 1W1,54
H1B,H1B 1W2,53
H1B,H1B 1W3,54
H1B,H1B 1W4,53
H1B,H1B 1W5,44
H1B,H1B 1W6,44
H1B,H1B 1W7,44
H1B,H1B 1W8,44
H1B,H1B 1W9,38
H1B,H1B 1X1,44
H1B,H1B 1X2,48
H1B,H1B 1X3,25
H1B,H1B 1X4,33
H1B,H1B 1X5,30
H1B,H1B 1X6,35
H1B,H1B 1X7,51
H1B,H1B 1X8,38
H1B,H1B 1X9,53
