,type,bedroom,bathroom,size(sqft),address,price,lat,long,url
4073,Appartement,3 1/2,1,750,"15655 Rue Sherbrooke E, Montréal, QC H1A 0E1, Canada",1 025,45.691356,-73.498339,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-neuf-1-chambre-1-salle-de-bain/1581778861
4074,Appartement,3 1/2,1,550,"255 Rue Melrose, Verdun, QC H4H 1T2, Canada",910,45.4537986,-73.5680684,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/beau-3-1-2-a-louer-dans-verdun-910-chauffage-eau-chaude-inclus/1581777619
4075,Appartement,4 1/2,1,800,"2010 Av. de Marlowe, Montréal, QC H4A 3L5, Canada",1 100,45.4739066,-73.6050828,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-apartment-heating-hot-water-included-vendome-sep-1st/1579386265
4076,Appartement, 3 1/2 et coin détente,1,Non disponible,"3466 Aylmer, montreal, QC, H2X 2B6",850,45.5069932,-73.5746765,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/mcgill-corner-aylmer-milton-large-units-very-clean-free-wifi/1581774613
4077,Appartement,3 1/2,1,Oui,"rue Truteau, Longueuil, QC, J4L 4E3",695,45.523972,-73.459457,https://www.kijiji.ca/v-appartement-condo/longueuil-rive-sud/2-1-2-semi-meuble-longueuil-face-parc-dispo-octobre/1581773394
4078,Appartement, 1 ½ ou 2 ½,1,400,"1306A de la Concorde Ouest, Laval H7N 1J3 QC",885,45.523972,-73.459457,https://www.kijiji.ca/v-appartement-condo/laval-rive-nord/2-1-2-studio-a-louer-laval-des-rapides-a-pied-des-metro/1581775339
4079,Appartement,6 1/2,1.5,1 400,"4334 Av. Charlemagne, Montréal, QC H1X 3N4, Canada",2 050,45.5535403,-73.5563628,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/tres-grand-6/1581650922
4080,Appartement, 1 ½ ou 2 ½,1,400,"1306A de la Concorde Ouest, H7N 1J3, Laval, QC",885,45.5597703,-73.7115283,https://www.kijiji.ca/v-appartement-condo/laval-rive-nord/2-1-2-studio-a-louer-laval-des-rapides-a-pied-des-metro/1581775282
4081,Appartement,4 1/2,1,800,"1470 Rue Logan, Montréal, QC H2L 1X5, Canada",1 295,45.5220585,-73.5567554,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/tres-beau-4-renove-sur-2-etages/1581312986
4082,Appartement,4 1/2,1,Non,"128 boulevard Hymus, Pointe-Claire, QC, H9R 1E8",1 612,45.4675552,-73.8059991,https://www.kijiji.ca/v-appartement-condo/ouest-de-lile-qc/new-4-1-2-for-rent/1505842847
