,type,bedroom,bathroom,size(sqft),address,price,Postal Code,lat,long,url
3514,Appartement,3 1/2,1.5,775,"3555 Ch. de la Côte-des-Neiges, Montréal, QC H3H 1V2, Canada",1 825,H3H,45.49664,-73.58483,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/1-bedroom-promotion-2-months-free/1582577517
3515,Appartement,3 1/2,1,700,"3375 Boul. Gouin E, Montréal-Nord, QC H1H 5L8, Canada",Sur,H1H,45.58895,-73.65136,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-1-2-4-1-2-a-louer-bord-de-leau-montreal-nord/1574240900
3516,Appartement,3 1/2,1,610,"330 Av. Mozart E, Montréal, QC H2S 1B9, Canada",1 048,H2S,45.53622,-73.61288,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/cession-de-bail:-3-5-tout-inclus-marche-jean-talon-novembre-2021/1582441586
3517,Appartement,4 1/2,1,950,"1868 avenue Bourbonnière, H1W3N6, Montréal, QC",1 800,H1W,45.54763,-73.54218,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/grand-4-1-2-avec-garage-double-hochelaga-homa/1581394059
3518,Appartement,4 1/2,1,Non,"1060 Crémazie Ouest, Montreal, QC, H3N 1A4",920,H3N,45.5307,-73.64699,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/super-4-1-2-cremazie-ouest-parc-extension/1539392563
3519,Appartement,3 1/2,1,600,"2010 Boul Henri-Bourassa E, Montréal, QC H2B 1S5, Canada",870,H2B,45.572064,-73.657058,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/ahuntsic-3-1-2-plusieurs-appartements-en-renovations-tres-p/1498791132
3520,Appartement,3 1/2,1,Non,"8035, boul. Saint-Laurent, Brossard, QC, J4X 0B1",1 495,J4X,45.45572,-73.49424,https://www.kijiji.ca/v-appartement-condo/longueuil-rive-sud/appartements-a-1-chambre-3-1-2-de-style-condo-a-brossard/1505782835
3521,Appartement,3 1/2,1,650,"420 rue Abelard, Verdun, QC, H3E 1B5",1 029,H3E,45.46642,-73.55013,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-5-a-louer-iles-des-soeurs-nuns-island-420-rue-abelard/1579918497
3522,Appartement, 4 1/2 et coin détente,1,1 000,"H4R1K4, Canada",1 300,H4L,45.51981,-73.70238,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-metro-cote-vertu-tout-inclus-promotion/1582576808
3523,Appartement, 1 ½ ou 2 ½,1,Non disponible,"5199 East Sherbrooke East, Suite 3361, Montreal, QC, H1T 3X2",895,H1T,45.56954,-73.55349,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/bachelor-available-at-5199-east-sherbrooke-east-suite-3361/1553782765
